date,CVS,Price Chopper,SUNY Albany,Walgreens,Albany Armory,Hannaford,Times Union Center,Walmart,Queensbury Mall
2021-04-16 15:40:32,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(10) Scotia(3) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (66) Schenectady (135) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (58) Troy (76) Glenmont (79) Latham (77) Albany (74) Schenectady (82) Glenville (76) Saratoga Springs (73) Amsterdam (93) ,Unavailable
2021-04-16 15:35:35,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(8) Scotia(3) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (67) Rotterdam (137) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (58) Troy (76) Glenmont (79) Latham (77) Albany (74) Schenectady (82) Glenville (76) Amsterdam (93) ,Unavailable
2021-04-16 15:30:35,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(8) Scotia(3) Malta(10) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (67) Rotterdam (137) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (59) Troy (76) Glenmont (79) Latham (77) Albany (74) Schenectady (82) Glenville (76) Amsterdam (93) ,Unavailable
2021-04-16 15:25:45,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(8) Scotia(3) Malta(10) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (67) Rotterdam (137) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (59) Troy (76) Glenmont (81) Latham (78) Albany (74) Schenectady (82) Glenville (76) Amsterdam (93) ,Unavailable
2021-04-16 15:20:44,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(8) Scotia(3) Malta(10) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (67) Rotterdam (137) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (59) Troy (76) Glenmont (81) Latham (78) Albany (74) Schenectady (82) Glenville (76) Amsterdam (93) ,Unavailable
2021-04-16 15:15:29,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(8) Scotia(4) Malta(10) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (67) Rotterdam (137) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (59) Troy (76) Glenmont (81) Latham (78) Albany (74) Schenectady (82) Glenville (76) Amsterdam (96) ,Unavailable
2021-04-16 15:10:22,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(8) Scotia(4) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Loudonville (67) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (59) Troy (76) Glenmont (81) Latham (78) Albany (74) Schenectady (82) Glenville (77) Amsterdam (96) ,Unavailable
2021-04-16 15:05:32,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(8) Scotia(4) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (67) Schenectady (136) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (59) Troy (76) Glenmont (81) Latham (78) Albany (74) Schenectady (82) Glenville (77) Saratoga Springs (82) Amsterdam (96) ,Unavailable
2021-04-16 15:00:27,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(8) Scotia(4) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (67) Schenectady (136) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (61) Troy (76) Glenmont (81) Latham (78) Albany (74) Schenectady (82) Glenville (77) Saratoga Springs (82) Amsterdam (96) ,Unavailable
2021-04-16 14:55:31,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(4) Malta(9) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (67) Rotterdam (137) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Ballston Lake Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (61) Troy (76) Glenmont (81) Latham (78) Albany (74) Schenectady (82) Glenville (77) Saratoga Springs (82) Amsterdam (96) ,Unavailable
